id_i,id_j,class_i,class_j,dist_yolo,dist_dinov2,dist_supcon
0,1,BandNeutrophil,Basophil,0.017637,0.08209,0.756358
0,2,BandNeutrophil,Blast,0.019464,0.043309,0.727483
0,3,BandNeutrophil,Echinocyte,0.063639,0.27484,0.784517
0,4,BandNeutrophil,Elliptocyte,0.071936,0.121419,0.670917
0,5,BandNeutrophil,Eosinophil,0.00514,0.016235,0.630892
0,6,BandNeutrophil,GiantPlt,0.022074,0.163193,0.655837
0,7,BandNeutrophil,Lymphocyte,0.026181,0.091062,0.679923
0,8,BandNeutrophil,Monocyte,0.004407,0.019248,0.584865
0,9,BandNeutrophil,Myelocyte,0.023465,0.057528,0.517535
0,10,BandNeutrophil,Nucleated,0.017432,0.131158,0.656891
0,11,BandNeutrophil,PLT,0.069228,0.33752,0.671469
0,12,BandNeutrophil,RBC,0.066325,0.170818,0.693309
0,13,BandNeutrophil,Reticulocyte,0.041816,0.112846,0.616238
0,14,BandNeutrophil,Schistocyte,0.074568,0.161632,0.706587
0,15,BandNeutrophil,SegNeutrophil,0.000805,0.008032,0.39865
0,16,BandNeutrophil,Smudge,0.021191,0.05936,0.695614
0,17,BandNeutrophil,Stomatocyte,0.062631,0.222593,0.589901
0,18,BandNeutrophil,TargetCell,0.072486,0.128356,0.683319
0,19,BandNeutrophil,TearDropCell,0.066255,0.136599,0.687954
0,20,BandNeutrophil,ToxicGranule,0.003286,0.010799,0.511069
0,21,BandNeutrophil,ToxicVacuole,0.002469,0.021287,0.560651
0,22,BandNeutrophil,clump-PLT,0.018296,0.096604,0.706906
0,23,BandNeutrophil,degeneWBC,0.004842,0.056096,0.650093
0,24,BandNeutrophil,hyperSeg.,0.001354,0.01668,0.721972
1,2,Basophil,Blast,0.008422,0.056198,0.647387
1,3,Basophil,Echinocyte,0.095088,0.229412,0.647322
1,4,Basophil,Elliptocyte,0.103962,0.156283,0.718841
1,5,Basophil,Eosinophil,0.017827,0.059831,0.572239
1,6,Basophil,GiantPlt,0.014748,0.143096,0.802695
1,7,Basophil,Lymphocyte,0.005276,0.070492,0.594653
1,8,Basophil,Monocyte,0.014724,0.062299,0.620781
1,9,Basophil,Myelocyte,0.011296,0.070926,0.597201
1,10,Basophil,Nucleated,0.015315,0.121948,0.774232
1,11,Basophil,PLT,0.072223,0.312572,0.668936
1,12,Basophil,RBC,0.099274,0.171337,0.645478
1,13,Basophil,Reticulocyte,0.074556,0.148338,0.770018
1,14,Basophil,Schistocyte,0.104919,0.187487,0.725695
1,15,Basophil,SegNeutrophil,0.016436,0.074609,0.70963
1,16,Basophil,Smudge,0.04748,0.070701,0.604209
1,17,Basophil,Stomatocyte,0.096914,0.273951,0.783525
1,18,Basophil,TargetCell,0.106721,0.181881,0.677273
1,19,Basophil,TearDropCell,0.099112,0.182746,0.715198
1,20,Basophil,ToxicGranule,0.011267,0.07053,0.697832
1,21,Basophil,ToxicVacuole,0.019556,0.076542,0.737091
1,22,Basophil,clump-PLT,0.039725,0.104812,0.676644
1,23,Basophil,degeneWBC,0.011166,0.084046,0.643323
1,24,Basophil,hyperSeg.,0.01446,0.078598,0.648401
2,3,Blast,Echinocyte,0.087092,0.261767,0.807691
2,4,Blast,Elliptocyte,0.09654,0.134367,0.741435
2,5,Blast,Eosinophil,0.022568,0.025732,0.677472
2,6,Blast,GiantPlt,0.019371,0.130634,0.714189
