class_id,class_name,n_samples,mean_dist_to_centroid,std_dist,ap50
0,BandNeutrophil,153,0.008056,0.005628,0.71
1,Basophil,200,0.008892,0.005535,0.971
2,Blast,200,0.008988,0.005621,0.943
3,Echinocyte,200,0.005832,0.004235,0.872
4,Elliptocyte,200,0.007535,0.0059,0.917
5,Eosinophil,200,0.009315,0.007057,0.986
6,GiantPlt,200,0.011167,0.009883,0.898
7,Lymphocyte,200,0.00737,0.005828,0.937
8,Monocyte,200,0.011505,0.007776,0.946
9,Myelocyte,200,0.013579,0.010959,0.888
10,Nucleated,145,0.010097,0.009225,0.901
11,PLT,200,0.015695,0.016232,0.961
12,RBC,200,0.005726,0.003958,0.975
13,Reticulocyte,200,0.012382,0.011672,0.89
14,Schistocyte,200,0.008872,0.009485,0.679
15,SegNeutrophil,200,0.007878,0.004771,0.916
16,Smudge,200,0.019711,0.013176,0.973
17,Stomatocyte,147,0.007207,0.006947,0.929
18,TargetCell,200,0.008599,0.006407,0.901
19,TearDropCell,178,0.008473,0.008101,0.828
20,ToxicGranule,200,0.007493,0.004327,0.882
21,ToxicVacuole,117,0.008112,0.00396,0.88
22,clump-PLT,200,0.016491,0.011865,0.9
23,degeneWBC,133,0.008708,0.006089,0.927
24,hyperSeg.,130,0.007876,0.004716,0.764
